ID;RELEASE;URL;DOWNLOAD LINK;COMPONENT;DESCRIPTION;MD5;S3 PATH;LAST UPDATED;SAP RELEASE DATE;COMMENT
S4HANA23_EXPORT_PART13;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164322023;https://softwaredownloads.sap.com/file/0030000001164322023;EXPORT_PART13;S4CORE108_INST_EXPORT_13.zip;17ace3bdb27647792a7ddab62df1513cf084568b88dc1bafd91ae9fef79b9e16;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART14;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164332023;https://softwaredownloads.sap.com/file/0030000001164332023;EXPORT_PART14;S4CORE108_INST_EXPORT_14.zip;e530f67e5f5f6e77b37db46d1617e6cf709d44573e1190117b4cb17b420d645f;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART15;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164352023;https://softwaredownloads.sap.com/file/0030000001164352023;EXPORT_PART15;S4CORE108_INST_EXPORT_15.zip;6620ad815d9d49e5a9965e3ec1e0dd21e2ced89f9f67839a093bef6b4773fcad;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART16;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164362023;https://softwaredownloads.sap.com/file/0030000001164362023;EXPORT_PART16;S4CORE108_INST_EXPORT_16.zip;e79e8058d0b820098b3492a5f3e7df419a01302d74ff15213b563bf6f2cb67d2;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART17;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164382023;https://softwaredownloads.sap.com/file/0030000001164382023;EXPORT_PART17;S4CORE108_INST_EXPORT_17.zip;7b7e0bed2dcb22ed38ed533a2103d055a868a81927d82387b787cf1b3bb0de89;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART18;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164392023;https://softwaredownloads.sap.com/file/0030000001164392023;EXPORT_PART18;S4CORE108_INST_EXPORT_18.zip;759d6e3f1e0e5b9c1341523ee43dab842c9cc5d4f31836cfd887057d01c4fbfe;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART19;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164412023;https://softwaredownloads.sap.com/file/0030000001164412023;EXPORT_PART19;S4CORE108_INST_EXPORT_19.zip;6a70d4f3899fff7ecf05903e51670646dc9c4ffd4bbf08b0577e31a0eea1007c;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART20;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164452023;https://softwaredownloads.sap.com/file/0030000001164452023;EXPORT_PART20;S4CORE108_INST_EXPORT_20.zip;e42c2270e9f697c831036f9a11e6b01405481d13365b09cc303649d6bd0628bd;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART21;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164472023;https://softwaredownloads.sap.com/file/0030000001164472023;EXPORT_PART21;S4CORE108_INST_EXPORT_21.zip;d4bec3a7c63a926d87facacf10f2959363c65654660eada3d30165b0ff768aec;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
S4HANA23_EXPORT_PART22;S4HANA23;https://me.sap.com/softwarecenter/object/0030000001164502023;https://softwaredownloads.sap.com/file/0030000001164502023;EXPORT_PART22;S4CORE108_INST_EXPORT_22.zip;2c69d6d2080e7cc3aa79416ac758c6ad9c3ce666d840be98ffe470ec6061789d;s3://launchwizard-<AccountID>/<SAP_PRODUCT_ID>/EXPORT;07.03.24;27.09.23;
